"","island","site","web","webv2","native","netting","startdate","enddate","totaldays","spidpres","webpres","websize","duration","bird"
"1","saipan","ladt","G'P","GP","yes","no",2013-07-23,2013-08-01,9,"yes","no",71,9,"yes"
"2","saipan","mtr","G'Q","GQ","yes","no",2013-07-26,2013-07-29,3,"no","yes",34,3,"yes"
"3","saipan","mtr","G'R","GR","yes","no",2013-07-26,2013-07-27,1,"no","yes",41,1,"yes"
"4","saipan","forbi","G'S","GS","yes","no",2013-07-27,2013-07-29,2,"no","yes",37,2,"yes"
"5","saipan","forbi","G'T","GT","yes","no",2013-07-27,2013-07-31,4,"no","no",51,4,"yes"
"6","saipan","forbi","G'U","GU","yes","no",2013-07-27,2013-07-29,2,"no","yes",55,2,"yes"
"7","saipan","ladt","G'V","GV","yes","no",2013-07-23,2013-07-24,1,"no","yes",50,1,"yes"
"8","saipan","ladt","G'W","GW","no","no",2013-07-30,2013-07-31,1,"no","yes",43,1,"yes"
"9","saipan","ladt","G'X","GX","no","no",2013-07-30,2013-07-31,1,"no","yes",59,1,"yes"
"10","saipan","ladt","G'Y","GY","no","no",2013-07-30,2013-07-31,1,"no","yes",44,1,"yes"
"11","saipan","ladt","G'Z","GZ","no","no",2013-07-30,2013-07-31,1,"no","yes",61,1,"yes"
"12","saipan","ladt","H'A","HA","no","no",2013-07-30,2013-07-31,1,"no","yes",55,1,"yes"
"13","saipan","ladt","H'B","HB","no","no",2013-07-30,2013-07-31,1,"no","yes",33,1,"yes"
"14","saipan","ladt","H'C","HC","no","no",2013-07-30,2013-07-31,1,"no","yes",53,1,"yes"
"15","saipan","ladt","H'D","HD","no","no",2013-07-30,2013-08-02,3,"no","yes",46,3,"yes"
"16","saipan","ladt","H'E","HE","no","no",2013-08-01,2013-08-02,1,"no","yes",55,1,"yes"
"17","saipan","ladt","H'F","HF","no","no",2013-08-01,2013-08-02,1,"no","yes",48,1,"yes"
"18","saipan","ladt","H'G","HG","no","no",2013-08-01,2013-08-02,1,"no","yes",51,1,"yes"
"19","saipan","ladt","H'H","HH","no","no",2013-08-01,2013-08-02,1,"no","yes",59,1,"yes"
"20","saipan","ladt","H'I","HI","no","no",2013-08-01,2013-08-03,2,"no","yes",57,2,"yes"
"21","saipan","ladt","H'J","HJ","no","no",2013-08-01,2013-08-04,3,"no","yes",49,3,"yes"
"22","saipan","forbi","H'K","HK","no","no",2013-08-01,2013-08-02,1,"no","yes",52,1,"yes"
"23","saipan","forbi","H'L","HL","no","no",2013-08-01,2013-08-02,1,"no","yes",31,1,"yes"
"24","saipan","forbi","H'M","HM","no","no",2013-08-01,2013-08-02,1,"no","no",27,1,"yes"
"25","saipan","forbi","H'N","HN","no","no",2013-08-01,2013-08-03,2,"no","yes",51,2,"yes"
"26","saipan","forbi","H'O","HO","no","no",2013-08-01,2013-08-04,3,"no","yes",47,3,"yes"
"27","saipan","forbi","H'P","HP","no","no",2013-08-01,2013-08-05,4,"no","yes",62,4,"yes"
